,Player,Position,GP,PM,Salary,Log_Salary,Average PM,Average_PM
0,AARON.EKBLAD,Defence,227,53,16850000,16.639861214762647,0.23348017621145375,0.23348017621145375
1,ADAM.HENRIQUE,Offense,431,-6,25150000,17.040368454510023,-0.013921113689095127,-0.013921113689095127
2,ADAM.LARSSON,Defence,353,-19,19032433,16.761655081862074,-0.053824362606232294,-0.053824362606232294
3,ADAM.LOWRY,Offense,236,-30,3128333,14.95601083278162,-0.1271186440677966,-0.1271186440677966
4,ADAM.MCQUAID,Defence,424,-9,16850001,16.639861274109823,-0.02122641509433962,-0.02122641509433962
5,ADAM.PARDY,Defence,341,-33,7660000,15.851522541716774,-0.0967741935483871,-0.0967741935483871
6,ADAM.PELECH,Defence,53,-9,3200000,14.978661367769956,-0.16981132075471697,-0.16981132075471697
7,ALEC.MARTINEZ,Defence,419,69,20312500,16.82674701805423,0.16467780429594273,0.16467780429594273
8,ALEKSANDER.BARKOV,Offense,252,66,19762500,16.799296760499864,0.2619047619047619,0.2619047619047619
9,ALES.HEMSKY,Offense,563,113,30812821,17.243441427562818,0.20071047957371227,0.20071047957371227
10,ALEX.CHIASSON,Offense,320,-4,4393334,15.295598950115583,-0.0125,-0.0125
11,ALEXEI.EMELIN,Defence,380,-107,20400000,16.831045458814444,-0.28157894736842104,-0.28157894736842104
12,ALEX.GALCHENYUK,Offense,336,72,17675000,16.68766176974691,0.21428571428571427,0.21428571428571427
13,ALEX.GOLIGOSKI,Defence,643,114,40324999,17.512482157177033,0.17729393468118196,0.17729393468118196
14,ALEX.OVECHKIN,Offense,758,603,95384620,18.373427907488914,0.7955145118733509,0.7955145118733509
15,ALEX.PETROVIC,Defence,161,-15,4215000,15.254160149418093,-0.09316770186335403,-0.09316770186335403
16,ALEX.PIETRANGELO,Defence,539,73,41449998,17.539998391294674,0.13543599257884972,0.13543599257884972
17,ALEX.TANGUAY,Offense,557,157,21700000,16.892822818510687,0.28186714542190305,0.28186714542190305
18,ANDERS.LEE,Offense,261,90,16012637,16.588888780966293,0.3448275862068966,0.3448275862068966
19,ANDREAS.ATHANASIOU,Offense,101,-2,2015833,14.51654306744061,-0.019801980198019802,-0.019801980198019802
20,ANDREAS.MARTINSEN,Offense,119,-22,640000,13.369223455335854,-0.18487394957983194,-0.18487394957983194
21,ANDRE.BENOIT,Defence,181,-24,1700000,14.346138809026444,-0.13259668508287292,-0.13259668508287292
22,ANDRE.BURAKOVSKY,Offense,196,51,7788332,15.868137274252305,0.2602040816326531,0.2602040816326531
23,ANDREI.MARKOV,Defence,579,197,46000000,17.64415195445337,0.34024179620034545,0.34024179620034545
24,ANDREJ.MESZAROS,Defence,480,-28,20535256,16.837653771815663,-0.058333333333333334,-0.058333333333333334
25,ANDREJ.NESTRASIL,Offense,128,17,912500,13.723943364438783,0.1328125,0.1328125
26,ANDREJ.SEKERA,Defence,645,-10,27430107,17.127151763744674,-0.015503875968992248,-0.015503875968992248
27,ANDREJ.SUSTR,Defence,274,-35,6283869,15.653496431545829,-0.12773722627737227,-0.12773722627737227
28,ANDREW.COGLIANO,Offense,786,-50,21303333,16.87437409731135,-0.06361323155216285,-0.06361323155216285
29,ANDREW.COPP,Offense,142,1,3850000,15.163583706263967,0.007042253521126761,0.007042253521126761
30,ANDREW.DESJARDINS,Offense,408,-73,3612661,15.099955177883773,-0.17892156862745098,-0.17892156862745098
31,ANDREW.FERENCE,Defence,494,-91,21150000,16.86715046345656,-0.18421052631578946,-0.18421052631578946
32,ANDREW.LADD,Offense,753,74,42400000,17.562658920202185,0.09827357237715803,0.09827357237715803
33,ANDREW.MACDONALD,Defence,472,-68,27248974,17.12052642698855,-0.1440677966101695,-0.1440677966101695
34,ANDREW.SHAW,Offense,390,110,16846666,16.639663331683597,0.28205128205128205,0.28205128205128205
35,ANDY.GREENE,Defence,629,-79,33475000,17.32630944954151,-0.12559618441971382,-0.12559618441971382
36,ANTHONY.BEAUVILLIER,Offense,66,4,1788334,14.396795018165337,0.06060606060606061,0.06060606060606061
37,ANTHONY.DUCLAIR,Offense,157,33,2745000,14.825291632925769,0.21019108280254778,0.21019108280254778
38,ANTOINE.ROUSSEL,Offense,340,-50,8612500,15.968725194304051,-0.14705882352941177,-0.14705882352941177
39,ANTOINE.VERMETTE,Offense,763,-67,28379435,17.16117532111181,-0.08781127129750983,-0.08781127129750983
40,ANTON.STRALMAN,Defence,621,74,29365000,17.19531404693876,0.11916264090177134,0.11916264090177134
41,ANTON.VOLCHENKOV,Defence,466,-109,20500000,16.835935444108635,-0.23390557939914164,-0.23390557939914164
42,ANZE.KOPITAR,Offense,768,256,77600000,18.167077985153448,0.3333333333333333,0.3333333333333333
43,ARTEM.ANISIMOV,Offense,553,46,28893333,17.179121434427636,0.08318264014466546,0.08318264014466546
44,ARTEMI.PANARIN,Offense,162,91,12812500,16.3659318148629,0.5617283950617284,0.5617283950617284
45,ARTTURI.LEHKONEN,Offense,73,6,1678332,14.333311001027447,0.0821917808219178,0.0821917808219178
46,AUSTIN.WATSON,Offense,140,-16,2775000,14.836161305162673,-0.11428571428571428,-0.11428571428571428
47,AUSTON.MATTHEWS,Offense,82,31,1850000,14.430696197054507,0.3780487804878049,0.3780487804878049
48,BARRET.JACKMAN,Defence,645,-138,23041667,16.95281474360521,-0.21395348837209302,-0.21395348837209302
49,BEN.CHIAROT,Defence,170,-31,4922580,15.409343341267878,-0.18235294117647058,-0.18235294117647058
50,BEN.HUTTON,Defence,146,-22,6496250,15.686735645304788,-0.1506849315068493,-0.1506849315068493
51,BEN.LOVEJOY,Defence,416,-27,12517472,16.34263598631535,-0.06490384615384616,-0.06490384615384616
52,BENOIT.POULIOT,Offense,548,103,22169916,16.914246792681393,0.18795620437956204,0.18795620437956204
53,BLAKE.COMEAU,Offense,636,-100,13950000,16.45099006623165,-0.15723270440251572,-0.15723270440251572
54,BLAKE.WHEELER,Offense,696,171,41775000,17.547808632445733,0.24568965517241378,0.24568965517241378
